Nhóm nghĩa loại,Chủ đề lớn (TV),Chủ đề con (TV),
,,Thành ngữ về rễ,一根一板     上根大器     不根之论     不根之谈     六根不净     六根清净     六根清静     切树倒根     刨树搜根     刨根究底     刨根问底     刬草除根     削株掘根     削草除根     剗草除根     剪草除根     单根独苗     叶落归根     同气连根     咬定牙根     咬得菜根     咬紧牙根     始末根由     孽根祸胎     寻根拔树     寻根究底     寻根追底     寻根问底     引绳批根     引绳排根     归根到底     归根究柢     归根结底     归根结柢     归根结蒂     情根爱胎     扎根串连     拔树寻根     拔树搜根     推究根源     搜根剔齿     搜根问底     斩草除根     断根绝种     无了根蒂     无根无蒂     无根而固     有根有底     有根有据     有根有苗     枝末生根     树倒根摧     树大根深     根壮叶茂     根孤伎薄     根据槃互     根据盘互     根朽枝枯     根株牵连     根株结盘     根株附丽     根椽片瓦     根浅门微     根深叶茂     根深固本     根深固蒂     根深本固     根深枝茂     根深柢固     根深蒂固     根深蒂结     根牙盘错     根牙磐错     根牢蒂固     根生土长     根盘蒂结     根究着实     根结盘固     根结盘据     根蟠节错     根连株拔     根连株逮     槃根错节     没根没据     深根固本     深根固柢     深根固蒂     深根宁极     深根蟠结     游谈无根     源远根深     独根孤种     盘根究底     盘根错节     盘根问底     知根知底     移根换叶     移根接叶     究根诘底     穷根寻叶     穷根究底     穷苗苦根     立地生根     绝其本根     翦草除根     耳根清净     芝草无根     落叶归根     落地生根     蟠根错节     询根问底     起根发由     达地知根     连根带梢     追根刨底     追根寻底     追根查源     追根求源     追根溯源     追根究底     追根究蒂     追根穷源     追根问底     铲草除根     错节盘根
,,Thành ngữ về lá,一叶扁舟     一叶报秋     一叶知秋     一叶迷山     一叶障目     两叶掩目     倡条冶叶     冰销叶散     冶叶倡条     加叶添枝     加枝添叶     千枝万叶     叶公好龙     叶散冰离     叶瘦花残     叶落归根     叶落归秋     叶落知秋     同心叶力     吹叶嚼蕊     如振落叶     寻枝摘叶     御沟流叶     御沟红叶     抱枝拾叶     拈花摘叶     支叶扶疏     支叶硕茂     改柯易叶     有枝有叶     有枝添叶     杏花菖叶     条修叶贯     条入叶贯     杨穿三叶     枝分叶散     枝叶扶疏     枝叶扶苏     枝叶旁牒     枝叶相持     枝对叶比     枝布叶分     枝流叶布     枝繁叶茂     枝附叶从     枝附叶着     枝附叶著     枝附叶连     枯枝败叶     柔枝嫩叶     根壮叶茂     根深叶茂     梵册贝叶     欢苗爱叶     添枝加叶     添枝增叶     添枝接叶     熊罴叶梦     狂花病叶     玉叶金枝     玉叶金柯     玉枝金叶     琼枝玉叶     破桐之叶     秋风扫叶     秋风落叶     移根换叶     移根接叶     穷根寻叶     粗枝大叶     粗株大叶     红叶之题     红叶题诗     绿叶成荫     绿叶成阴     胡支扯叶     胡枝扯叶     莫辨楮叶     落叶归根     落叶知秋     西风落叶     言无枝叶     词无枝叶     辞有枝叶     连枝分叶     连枝带叶     重熙累叶     金枝玉叶     雨条烟叶     青枝绿叶     骈枝俪叶
,,Thành ngữ về cành,一枝一栖     一枝一节     一枝之栖     不蔓不枝     共枝别干     别生枝节     剪枝竭流     加叶添枝     加枝添叶     千仞无枝     千枝万叶     南枝北枝     同气连枝     寻枝摘叶     巢林一枝     左右枝梧     左枝右梧     巴结高枝     巴高枝儿     强干弱枝     强本弱枝     强枝弱本     抱枝拾叶     攀高枝儿     旁枝末节     有枝有叶     有枝添叶     本固枝荣     本枝百世     松枝挂剑     枝分叶散     枝分缕解     枝别条异     枝叶扶疏     枝叶扶苏     枝叶旁牒     枝叶相持     枝外生枝     枝大于本     枝对叶比     枝布叶分     枝干相持     枝木之冠     枝末生根     枝流叶布     枝源派本     枝繁叶茂     枝节横生     枝词蔓语     枝词蔓说     枝辞蔓语     枝附叶从     枝附叶着     枝附叶著     枝附叶连     枝附影从     枯枝再春     枯枝败叶     柔枝嫩叶     柔枝嫩条     标枝野鹿     根朽枝枯     根深枝茂     桂折一枝     桂林一枝     桂枝片玉     横生枝节     比目连枝     比翼连枝     添枝加叶     添枝增叶     添枝接叶     玉叶金枝     玉枝金叶     玉树琼枝     琼林玉枝     琼枝玉叶     琼枝玉树     百尺无枝     粗枝大叶     繁华损枝     繁枝细节     细枝末节     胡枝扯叶     节上生枝     节外生枝     花枝招展     花枝招颤     花枝招颭     花枝招飐     言无枝叶     词无枝叶     辞有枝叶     远门近枝     连枝共冢     连枝分叶     连枝同气     连枝带叶     连枝并头     连枝比翼     连理分枝     金枝玉叶     青枝绿叶     骈拇枝指     骈枝俪叶     魏鹊无枝     鹪鹩一枝     鼷腹鹪枝
,,Thành ngữ về cây tùng,乔松之寿     内紧外松     刻不容松     岁寒松柏     指水盟松     松乔之寿     松形鹤骨     松松垮垮     松枝挂剑     松柏之寿     松柏之志     松柏之茂     松柏后凋     松柏寒盟     松筠之节     松茂竹苞     松萝共倚     松风水月     玉洁松贞     皮松肉紧     皮松骨痒     石枯松老     竹清松瘦     竹苞松茂     苍松翠柏     衣宽带松     贞松劲柏     轻松愉快     轻轻松松     餐松啖柏     餐松饮涧     鹤发松姿     鹤骨松姿     鹤骨松筋
,,Thành ngữ về cây bách,岁寒松柏     松柏之寿     松柏之志     松柏之茂     松柏后凋     松柏寒盟     柏舟之节     柏舟之誓     桂宫柏寝     竹柏异心     苍松翠柏     贞松劲柏     餐松啖柏
,,Thành ngữ về cây đào,世外桃源     二桃三士     人面桃花     以桃代李     余桃啖君     僵李代桃     僵桃代李     公门桃李     凡桃俗李     夭桃秾李     夭桃穠李     夭桃襛李     将李代桃     投桃之报     投桃报李     报李投桃     断袖余桃     断袖分桃     方桃譬李     李代桃僵     李白桃红     杏脸桃腮     杏腮桃脸     杏腮桃颊     柳夭桃艳     柳绿桃红     桃之夭夭     桃僵李代     桃夭新妇     桃夭李艳     桃夭柳媚     桃弧棘矢     桃李之教     桃李之馈     桃李争妍     桃李争辉     桃李成蹊     桃李春风     桃李精神     桃李门墙     桃来李答     桃柳争妍     桃红柳绿     桃羞杏让     桃腮杏脸     桃腮柳眼     桃腮粉脸     桃花人面     桃花流水     桃花潭水     桃花薄命     桃蹊柳曲     桃蹊柳陌     流水桃花     浓桃艳李     满城桃李     艳如桃李     门墙桃李
,,Thành ngữ về cây liễu,傍柳随花     傍花随柳     分花拂柳     分花约柳     吟花咏柳     咏桑寓柳     墙花路柳     宠柳娇花     寻花觅柳     寻花问柳     折柳攀花     拈花弄柳     指槐骂柳     摧花斫柳     攀花折柳     攀花问柳     杨柳依依     杨柳宫眉     柳下借阴     柳亸花娇     柳亸莺娇     柳啼花怨     柳圣花神     柳夭桃艳     柳娇花媚     柳媚花明     柳宠花迷     柳巷花街     柳市花街     柳弱花娇     柳影花阴     柳户花门     柳折花残     柳昏花暝     柳昏花螟     柳暖花春     柳暗花明     柳暗花遮     柳泣花啼     柳烟花雾     柳眉倒竖     柳眉剔竖     柳眉星眼     柳眉踢竖     柳絮才高     柳绿桃红     柳绿花红     柳腰花态     柳腰莲脸     柳莺花燕     柳营花市     柳营花阵     柳营试马     柳街花巷     柳衢花市     柳门竹巷     柳陌花丛     柳陌花巷     柳陌花街     柳陌花衢     柳骨颜筋     桃夭柳媚     桃柳争妍     桃红柳绿     桃腮柳眼     桃蹊柳曲     桃蹊柳陌     残花败柳     眠花卧柳     眠花宿柳     眠花藉柳     眠花醉柳     章台之柳     章台杨柳     花光柳影     花嫣柳媚     花明柳媚     花明柳暗     花红柳绿     花花柳柳     花街柳巷     花街柳市     花街柳陌     花衢柳陌     花说柳说     花遮柳掩     花遮柳隐     花门柳户     花阶柳市     蒲柳之姿     蒲柳之质     觅柳寻花     败柳残花     路柳墙花     迷花恋柳     问柳寻花     问柳评花     阶柳庭花     颜筋柳骨     颜精柳骨     颜骨柳筋
,,Thành ngữ về cây hoè,一枕槐安     三槐九棘     指桑说槐     指桑骂槐     指槐骂柳     槐南一梦     蚂蚁缘槐
,Thành ngữ về thực phẩm,Thành ngữ về rượu,乞浆得酒     仗气使酒     以酒解酲     使酒骂坐     使酒骂座     借酒浇愁     双柑斗酒     只鸡斗酒     只鸡樽酒     只鸡絮酒     好酒贪杯     妇人醇酒     对酒当歌     彘肩斗酒     恋酒贪花     恋酒迷花     恶醉强酒     愁肠殢酒     愁长殢酒     把酒持螯     持螯把酒     放歌纵酒     文期酒会     斗酒双柑     斗酒只鸡     斗酒学士     斗酒百篇     旧瓶新酒     村酒野蔬     杯酒戈矛     杯酒解怨     杯酒言欢     桂酒椒浆     榷酒征茶     槌牛酾酒     樽酒论文     求浆得酒     池酒林胾     沉湎酒色     浆酒藿肉     浆酒霍肉     浪酒闲茶     灯红酒绿     炙鸡渍酒     牵羊担酒     狗恶酒酸     玄酒瓠脯     琴歌酒赋     箪食壶酒     绿酒红灯     羊羔美酒     肉山酒海     花天酒地     茶余酒后     觞酒豆肉     诗朋酒侣     诗朋酒友     诗酒朋侪     诗酒风流     貂裘换酒     载酒问字     酒余茶后     酒入舌出     酒后失言     酒后无德     酒后茶余     酒囊饭包     酒囊饭袋     酒地花天     酒有别肠     酒池肉林     酒瓮饭囊     酒病花愁     酒绿灯红     酒肉兄弟     酒肉朋友     酒色之徒     酒色财气     酒虎诗龙     酒足饭饱     酒酣耳热     酒酣耳熟     酒酸不售     酒醉饭饱     酒阑人散     酒食地狱     酒食征逐     酒龙诗虎     酗酒滋事     醇酒妇人     醇酒美人     醉酒饱德     醴酒不设     金谷酒数     金貂取酒     金貂换酒     金貂贳酒     金钗换酒     金龟换酒     饭囊酒瓮     饭囊酒甕     饭坑酒囊     高阳酒徒     黄公酒垆     大酒大肉
,,Thành ngữ về thịt,大酒大肉     不知肉味     亲如骨肉     以肉去蚁     以肉啖虎     以肉喂虎     以肉餧虎     以肉驱蝇     俎上之肉     凡夫肉眼     凡胎肉眼     剜肉做疮     剜肉医疮     剜肉成疮     剜肉生疮     剜肉补疮     割肉补疮     割肉饲虎     厚酒肥肉     周妻何肉     大酒大肉     大鱼大肉     好肉剜疮     委肉虎蹊     娇皮嫩肉     容膝之安     一肉之味     寝皮食肉     异姓骨肉     弱肉强食     强食弱肉     心惊肉战     心惊肉跳     情同骨肉     情深骨肉     情逾骨肉     惊肉生髀     愚眉肉眼     挖肉补疮     掠脂斡肉     晚食当肉     有血有肉     朽骨重肉     枯骨生肉     死骨更肉     浆酒藿肉     浆酒霍肉     狼多肉少     生死肉骨     生死骨肉     生肉枯骨     疗疮剜肉     白骨再肉     皮伤肉绽     皮开肉破     皮开肉绽     皮松肉紧     皮破肉烂     皮肉之苦     皮里抽肉     细皮嫩肉     羊头狗肉     羽翮飞肉     肉圃酒池     肉山脯林     肉山酒海     肉林酒池     肉眼凡夫     肉眼凡胎     肉眼愚眉     肉竹嘈杂     肉薄骨并     肉袒牵羊     肉袒膝行     肉袒负荆     肉袒面缚     肉跳心惊     肉跳神惊     肉颤心惊     肉食者鄙     肌肉玉雪     肥肉厚酒     肥肉大酒     肥鱼大肉     脱皮掉肉     脾肉之叹     自相鱼肉     臭肉来蝇     至亲骨肉     血肉模糊     血肉横飞     血肉淋漓     血肉相联     血肉相连     血风肉雨     行尸走肉     衣帛食肉     衣锦食肉     觞酒豆肉     走肉行尸     郁肉漏脯     酒池肉林     酒肉兄弟     酒肉弟兄     酒肉朋友     铜盘重肉     锦衣肉食     顽皮赖肉     飞土逐肉     食不兼肉     食不重肉     食肉寝皮     骨肉之亲     骨肉之恩     骨肉之情     骨肉分离     骨肉团圆     骨肉团圞     骨肉未寒     骨肉相亲     骨肉相残     骨肉相连     骨肉离散     骨肉私情     骨肉至亲     骨腾肉飞     骨软肉酥     骨颤肉惊     髀肉复生     髀里肉生     鱼肉乡里     鱼肉百姓     鱼馁肉败
,,Thành ngữ về cơm,一饭之先     一饭之德     一饭之恩     一饭千金     三茶六饭     不茶不饭     令人喷饭     吃四方饭     吃大锅饭     吃现成饭     吃自在饭     啖饭之道     埋锅造饭     家常便饭     家常茶饭     尘羹涂饭     尘饭涂羹     属纩含饭     打破饭碗     把饭叫饥     抟沙作饭     放饭流歠     晨炊星饭     橡饭菁羹     残汤冷饭     残汤剩饭     残羹冷饭     残羹剩饭     残茶剩饭     每饭不忘     浊醪粗饭     淡饭黄齑     清茶淡饭     漂母进饭     炊沙作饭     炊沙成饭     炊砂作饭     爷羹娘饭     爷饭娘羹     版筑饭牛     瓯饭瓢饮     白吃干饭     白饭青刍     看菜吃饭     礼先一饭     礼先壹饭     穿衣吃饭     粗茶淡饭     粗衣淡饭     茶余饭后     茶余饭饱     茶饭无心     蒸沙为饭     蒸沙作饭     蒸沙成饭     衣架饭囊     衣架饭袋     衣食饭碗     酒囊饭包     酒囊饭桶     酒囊饭袋     酒瓮饭囊     酒足饭饱     酒醉饭饱     金漆饭桶     靠天吃饭     饭囊衣架     饭囊酒瓮     饭囊酒甕     饭坑酒囊     饭来开口     饭来张口     饭牛屠狗     饭粝茹蔬     饭糗茹草     饭蔬饮水     麦饭豆羹     黄齑淡饭     黄齑白饭
,,Thành ngữ về trà,三茶六礼     三茶六饭     不茶不饭     家常茶饭     挑茶斡刺     榷酒征茶     残茶剩饭     浪酒闲茶     清茶淡话     清茶淡饭     粗茶淡饭     茶余酒后     茶余饭后     茶余饭饱     茶饭无心     酒余茶后     酒后茶余     闲茶浪酒
,,Thành ngữ về đậu,一灯如豆     两耳塞豆     两豆塞耳     冷灰爆豆     双豆塞耳     撒豆成兵     榆瞑豆重     煎豆摘瓜     煮豆燃箕     煮豆燃萁     燃萁煎豆     燃萁煮豆     瓜分豆剖     瓜剖豆分     瓜区豆分     目光如豆     眼光如豆     箪豆见色     箪食豆羹     糠豆不赡     红豆相思     胆小如豆     觞酒豆肉     豆分瓜剖     豆剖瓜分     豆渣脑筋     豆萁燃豆     豆萁相煎     豆蔻年华     豆重榆瞑     麦饭豆羹
